CYP2D6 Diplotype	Gaedigk Activity Score (formula)	Coded Genotype/Phenotype Summary	EHR Priority Result Notation
*3xN/*40	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*42	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*44	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*47	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*51	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*56	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*57	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*60	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*62	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*68	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*69	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*92	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*96	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*99	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*100	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*101	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*4	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*4xN	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*5	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*6	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*6xN	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*7	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*8	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*11	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*12	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*13	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*14A	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*15	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*18	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*19	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*20	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*21	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*31	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*36	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*36xN	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*38	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*40	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*42	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*44	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*47	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*51	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*56	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*57	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*60	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*62	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*68	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*69	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*92	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*96	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*99	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*100	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4/*101	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*4xN	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*5	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*6	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*6xN	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*7	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*8	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*11	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*12	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*13	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*14A	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*15	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*18	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*19	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*20	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*21	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*31	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*36	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*36xN	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*38	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*40	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*42	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*44	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*47	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*51	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*56	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*57	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*60	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*62	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*68	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*69	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*92	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*96	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*99	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*100	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*4xN/*101	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*5	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*6	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*6xN	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*7	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*8	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*11	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*12	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*13	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*14A	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*15	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*18	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*19	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*20	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*21	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*31	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*36	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*36xN	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*38	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*40	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*42	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*44	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*47	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*51	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*56	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*57	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*60	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*62	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*68	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*69	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*92	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*96	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*99	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*100	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*5/*101	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*6	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*6xN	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*7	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*8	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*11	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*12	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*13	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*14A	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*15	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*18	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*19	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*20	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*21	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*31	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*36	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*36xN	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*38	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*40	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*42	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*44	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*47	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*51	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*56	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*57	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*60	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*62	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*68	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*69	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*92	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*96	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*99	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*100	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6/*101	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*6xN	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*7	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*8	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*11	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*12	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*13	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*14A	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*15	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*18	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*19	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*20	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*21	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*31	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*36	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*36xN	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*38	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*40	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*42	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*44	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*47	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*51	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*56	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*57	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*60	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*62	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*68	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*69	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*92	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*96	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*99	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*100	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*6xN/*101	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*7	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*8	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*11	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*12	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*13	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*14A	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*15	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*18	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*19	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*20	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*21	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*31	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*36	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*36xN	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*38	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*40	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*42	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*44	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*47	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*51	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*56	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*57	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*60	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*62	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*68	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*69	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*92	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*96	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*99	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*100	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*7/*101	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*8	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*11	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*12	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*13	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*14A	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*15	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*18	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*19	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*20	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*21	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*31	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*36	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*36xN	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*38	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*40	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*42	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*44	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*47	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*51	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*56	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*57	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*60	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*62	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*68	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*69	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*92	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*96	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*99	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*100	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*8/*101	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*11	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*12	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*13	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*14A	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*15	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*18	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*19	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*20	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*21	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*31	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*36	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*36xN	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*38	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*40	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*42	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*44	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*47	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*51	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*56	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*57	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*60	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*62	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*68	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*69	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*92	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*96	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*99	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*100	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*11/*101	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*12/*12	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*12/*13	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*12/*14A	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*12/*15	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*12/*18	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
